Unnamed: 0,row_id,company_id,sale_id,sale_date,product_name,product_sum,sale_type,product_duration,sale_year,sale_month,sale_day,sale_quarter,sale_dayofweek,is_weekend,sale_year_month
0,row_8ae3f0a90135,comp_94b3dbfa3cdb,sal_117719067179,2021-02-09,Расширения,10000,Новая,1,2021,2,9,1,1,False,2021-02
1,row_e056ebe0bd07,comp_94b3dbfa3cdb,sal_8f5df72ac2f7,2023-03-17,Расширения,10000,Продление,1,2023,3,17,1,4,False,2023-03
2,row_04471fe231b0,comp_94b3dbfa3cdb,sal_117719067179,2021-02-09,Тарифы Webinar СМБ,11000,Новая,1,2021,2,9,1,1,False,2021-02
3,row_3c10791fca1f,comp_94b3dbfa3cdb,sal_8f5df72ac2f7,2023-03-17,Тарифы Webinar СМБ,11000,Продление,1,2023,3,17,1,4,False,2023-03
4,row_c25e0ba18d2e,comp_94b3dbfa3cdb,sal_fbb04b9291d4,2021-11-27,Тарифы Webinar СМБ,11000,Продление,1,2021,11,27,4,5,True,2021-11
5,row_1c090f28f333,comp_94b3dbfa3cdb,sal_34760cef17e9,2021-10-26,Тарифы Webinar СМБ,11000,Продление,1,2021,10,26,4,1,False,2021-10
6,row_b52ec0867cce,comp_94b3dbfa3cdb,sal_34760cef17e9,2021-10-26,Расширения,10000,Продление,1,2021,10,26,4,1,False,2021-10
7,row_9436d5838f89,comp_94b3dbfa3cdb,sal_fbb04b9291d4,2021-11-27,Расширения,10000,Продление,1,2021,11,27,4,5,True,2021-11
8,row_f9d5042fdfdf,comp_94b3dbfa3cdb,sal_de1df99496b2,2022-04-27,Тарифы Webinar СМБ,11000,Продление,1,2022,4,27,2,2,False,2022-04
9,row_244e35b8023c,comp_94b3dbfa3cdb,sal_de1df99496b2,2022-04-27,Расширения,10000,Продление,1,2022,4,27,2,2,False,2022-04
10,row_7c58580a9df0,comp_1415fd049367,sal_cf83143ce5c5,2020-10-01,Тарифы Webinar СМБ,11000,Продление,1,2020,10,1,4,3,False,2020-10
11,row_0c42dfbc32b6,comp_1415fd049367,sal_2ff52ae81f32,2020-08-31,Тарифы Webinar СМБ,11000,Возврат,1,2020,8,31,3,0,False,2020-08
12,row_77b6acad1779,comp_1415fd049367,sal_7ae8b618e44b,2020-07-13,Тарифы Webinar СМБ,11000,Новая,1,2020,7,13,3,0,False,2020-07
13,row_712f32624997,comp_1415fd049367,sal_845159f3f055,2020-12-01,Тарифы Webinar СМБ,10000,Продление,1,2020,12,1,4,1,False,2020-12
14,row_e6cef2033c16,comp_1415fd049367,sal_0f5ade4f2928,2020-11-01,Тарифы Webinar СМБ,10000,Продление,1,2020,11,1,4,6,True,2020-11
15,row_44b20047e80a,comp_1415fd049367,sal_845159f3f055,2020-12-01,Расширения,10000,Продление,1,2020,12,1,4,1,False,2020-12
16,row_2cd2f1fd9278,comp_a0017e8bc5ea,sal_8d6d7792f236,2017-01-14,Расширения,11000,Новая,3,2017,1,14,1,5,True,2017-01
17,row_3e5abef40111,comp_4183fd8f65b5,sal_3b906d72e263,2022-08-30,Enterprise-100,20000,Новая,12,2022,8,30,3,1,False,2022-08
18,row_c18e7fd088bf,comp_4183fd8f65b5,sal_3b906d72e263,2022-08-30,Расширения,12000,Новая,12,2022,8,30,3,1,False,2022-08
19,row_945f189f7827,comp_a6572bb2d533,sal_0a3b5e10cdf5,2015-12-01,Тарифы Webinar СМБ,16000,,12,2015,12,1,4,1,False,2015-12
20,row_10a60e6a0241,comp_a6572bb2d533,sal_5ea1f1c795d4,2016-12-01,Тарифы Webinar СМБ,12000,Новая,12,2016,12,1,4,3,False,2016-12
21,row_63ac2fce7966,comp_a6572bb2d533,sal_0a3b5e10cdf5,2015-12-01,Расширения,11000,,12,2015,12,1,4,1,False,2015-12
22,row_a6413fffce4a,comp_a6572bb2d533,sal_9e38da4bf19b,2022-05-30,Тарифы Webinar СМБ,11000,Новая,36,2022,5,30,2,0,False,2022-05
23,row_54cecd8430f0,comp_bd6386e0edef,sal_14f601c8d210,2021-08-01,Расширения,11000,Расширение,1,2021,8,1,3,6,True,2021-08
24,row_8dcb0e818d58,comp_bd6386e0edef,sal_b9b5539130c4,2020-02-01,Enterprise-1000,18000,Возврат,12,2020,2,1,1,5,True,2020-02
25,row_2c36bc2d31e6,comp_bd6386e0edef,sal_ade6502c264b,2021-06-05,Расширения,11000,Возврат,12,2021,6,5,2,5,True,2021-06
