company_id,first_purchase,last_purchase,frequency,monetary,recency,customer_age_days,n_products,Возврат,Новая,Продление,Расширение
comp_0004b685d8d6,2019-05-03,2019-05-03,1,17000,1624,1624,1,0,1,0,0
comp_001eac7794df,2020-09-23,2023-09-03,27,270000,40,1115,1,0,1,11,15
comp_002f5166d79b,2020-11-28,2020-11-28,1,31000,1049,1049,2,0,3,0,0
comp_00323bea932a,2020-08-17,2020-08-17,1,16000,1152,1152,1,0,1,0,0
comp_003be29c3721,2022-09-24,2022-09-24,1,30000,384,384,3,0,3,0,0
comp_005edceddb66,2022-10-17,2023-09-29,6,60000,14,361,1,0,1,1,4
comp_0077c29db87d,2019-06-07,2023-06-07,10,296000,128,1589,2,0,3,19,1
comp_00dee20896ef,2014-09-23,2017-07-08,15,220000,2288,3307,2,,,,
comp_00e300695d72,2018-04-20,2018-04-20,1,15000,2002,2002,1,0,1,0,0
comp_010fde0c4c1c,2019-10-19,2019-10-19,1,11000,1455,1455,1,0,1,0,0
comp_01533632d2d2,2022-08-30,2023-02-28,2,37000,227,409,1,0,1,1,0
comp_01947a8e8866,2014-10-28,2022-05-30,11,145000,501,3272,2,1,1,2,0
comp_01a0b80afc46,2015-06-19,2016-09-03,3,34000,2596,3038,1,0,1,0,0
comp_01d51efd0faf,2020-06-29,2022-07-19,3,52000,451,1201,1,0,1,2,0
comp_01ec73b5b764,2014-05-20,2014-05-20,1,10000,3433,3433,1,0,1,0,0
comp_01f46e2cde52,2016-11-02,2016-11-02,1,10000,2536,2536,1,0,1,0,0
comp_01fce7d4ed98,2020-11-18,2020-11-18,1,14000,1059,1059,1,0,1,0,0
comp_0214c9e2f3e1,2021-03-20,2023-06-20,5,251000,115,937,3,0,1,10,1
comp_022b70c43fc8,2020-06-11,2020-06-11,1,11000,1219,1219,1,0,1,0,0
comp_023c3f77c9e5,2018-12-30,2018-12-30,1,12000,1748,1748,1,0,1,0,0
comp_025ef56deb35,2016-12-27,2018-02-28,2,43000,2053,2481,2,0,1,0,0
comp_0278866a79c0,2015-07-17,2018-04-21,3,38000,2001,3010,2,1,0,0,0
comp_02e2e4f40ddd,2020-10-31,2020-10-31,1,45000,1077,1077,2,0,4,0,0
